名前,リンク
テーブルさん座,https://ja.wikipedia.org/wiki/%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%E3%81%95%E3%82%93%E5%BA%A7
てんびん座,https://ja.wikipedia.org/wiki/%E3%81%A6%E3%82%93%E3%81%B3%E3%82%93%E5%BA%A7
とかげ座,https://ja.wikipedia.org/wiki/%E3%81%A8%E3%81%8B%E3%81%92%E5%BA%A7
とけい座,https://ja.wikipedia.org/wiki/%E3%81%A8%E3%81%91%E3%81%84%E5%BA%A7
とびうお座,https://ja.wikipedia.org/wiki/%E3%81%A8%E3%81%B3%E3%81%86%E3%81%8A%E5%BA%A7
とも座,https://ja.wikipedia.org/wiki/%E3%81%A8%E3%82%82%E5%BA%A7
はえ座,https://ja.wikipedia.org/wiki/%E3%81%AF%E3%81%88%E5%BA%A7
はくちょう座,https://ja.wikipedia.org/wiki/%E3%81%AF%E3%81%8F%E3%81%A1%E3%82%87%E3%81%86%E5%BA%A7
はちぶんぎ座,https://ja.wikipedia.org/wiki/%E3%81%AF%E3%81%A1%E3%81%B6%E3%82%93%E3%81%8E%E5%BA%A7
はと座,https://ja.wikipedia.org/wiki/%E3%81%AF%E3%81%A8%E5%BA%A7
ふうちょう座,https://ja.wikipedia.org/wiki/%E3%81%B5%E3%81%86%E3%81%A1%E3%82%87%E3%81%86%E5%BA%A7
ふたご座,https://ja.wikipedia.org/wiki/%E3%81%B5%E3%81%9F%E3%81%94%E5%BA%A7
ペガスス座,https://ja.wikipedia.org/wiki/%E3%83%9A%E3%82%AC%E3%82%B9%E3%82%B9%E5%BA%A7
へび座,https://ja.wikipedia.org/wiki/%E3%81%B8%E3%81%B3%E5%BA%A7
へびつかい座,https://ja.wikipedia.org/wiki/%E3%81%B8%E3%81%B3%E3%81%A4%E3%81%8B%E3%81%84%E5%BA%A7
ヘルクレス座,https://ja.wikipedia.org/wiki/%E3%83%98%E3%83%AB%E3%82%AF%E3%83%AC%E3%82%B9%E5%BA%A7
ペルセウス座,https://ja.wikipedia.org/wiki/%E3%83%9A%E3%83%AB%E3%82%BB%E3%82%A6%E3%82%B9%E5%BA%A7
ほ座,https://ja.wikipedia.org/wiki/%E3%81%BB%E5%BA%A7
ぼうえんきょう座,https://ja.wikipedia.org/wiki/%E3%81%BC%E3%81%86%E3%81%88%E3%82%93%E3%81%8D%E3%82%87%E3%81%86%E5%BA%A7
ほうおう座,https://ja.wikipedia.org/wiki/%E3%81%BB%E3%81%86%E3%81%8A%E3%81%86%E5%BA%A7
ポンプ座,https://ja.wikipedia.org/wiki/%E3%83%9D%E3%83%B3%E3%83%97%E5%BA%A7
みずがめ座,https://ja.wikipedia.org/wiki/%E3%81%BF%E3%81%9A%E3%81%8C%E3%82%81%E5%BA%A7
みずへび座,https://ja.wikipedia.org/wiki/%E3%81%BF%E3%81%9A%E3%81%B8%E3%81%B3%E5%BA%A7
みなみじゅうじ座,https://ja.wikipedia.org/wiki/%E3%81%BF%E3%81%AA%E3%81%BF%E3%81%98%E3%82%85%E3%81%86%E3%81%98%E5%BA%A7
みなみのうお座,https://ja.wikipedia.org/wiki/%E3%81%BF%E3%81%AA%E3%81%BF%E3%81%AE%E3%81%86%E3%81%8A%E5%BA%A7
みなみのかんむり座,https://ja.wikipedia.org/wiki/%E3%81%BF%E3%81%AA%E3%81%BF%E3%81%AE%E3%81%8B%E3%82%93%E3%82%80%E3%82%8A%E5%BA%A7
みなみのさんかく座,https://ja.wikipedia.org/wiki/%E3%81%BF%E3%81%AA%E3%81%BF%E3%81%AE%E3%81%95%E3%82%93%E3%81%8B%E3%81%8F%E5%BA%A7
